backbone,config,budget,rep,method,C,auroc_light,sens_light,spec_light,auroc_mid,sens_mid,spec_mid,auroc_dark,sens_dark,spec_dark,gap_auroc
resnet50_frozen,std_tunedC,25,6,src_cond_shuf,0.1,0.53515625,0.0,1.0,0.7323383084577114,0.03333333333333333,1.0,0.6949013157894737,0.0,0.96875,-0.15974506578947367
resnet50_frozen,std_tunedC,25,7,simple,0.01,0.41328125000000004,0.0,0.875,0.5393034825870647,0.06666666666666667,0.9701492537313433,0.4325657894736842,0.05263157894736842,0.90625,-0.019284539473684137
resnet50_frozen,std_tunedC,25,7,fair,0.1,0.4109375,0.0,0.875,0.5427860696517413,0.06666666666666667,0.9701492537313433,0.4358552631578947,0.05263157894736842,0.90625,-0.02491776315789468
resnet50_frozen,std_tunedC,25,7,smote,0.01,0.3828125,0.0,0.890625,0.4666666666666666,0.06666666666666667,0.9850746268656716,0.4588815789473685,0.0,0.9375,-0.07606907894736847
resnet50_frozen,std_tunedC,25,7,smote_shuf,1.0,0.37968749999999996,0.0,0.9375,0.42139303482587065,0.0,0.9850746268656716,0.41858552631578944,0.0,0.96875,-0.03889802631578948
resnet50_frozen,std_tunedC,25,7,smote_light,1.0,0.39140625,0.0,0.90625,0.49353233830845766,0.03333333333333333,0.9850746268656716,0.4152960526315789,0.0,0.984375,-0.023889802631578916
resnet50_frozen,std_tunedC,25,7,smote_allmal,10.0,0.35546875000000006,0.0,0.96875,0.3398009950248756,0.0,0.9850746268656716,0.3157894736842105,0.0,0.984375,0.03967927631578955
resnet50_frozen,std_tunedC,25,7,src_demo,0.1,0.634375,0.1,0.96875,0.6746268656716419,0.06666666666666667,1.0,0.7154605263157895,0.15789473684210525,0.96875,-0.08108552631578947
resnet50_frozen,std_tunedC,25,7,src_cond,0.1,0.6484375,0.0,0.96875,0.6184079601990049,0.03333333333333333,1.0,0.7425986842105263,0.15789473684210525,1.0,-0.09416118421052633
resnet50_frozen,std_tunedC,25,7,src_cond_dark,0.1,0.6484375000000001,0.1,0.96875,0.6582089552238807,0.06666666666666667,1.0,0.7047697368421053,0.15789473684210525,0.984375,-0.0563322368421052
resnet50_frozen,std_tunedC,25,7,src_cond_shuf,0.1,0.6421875,0.0,1.0,0.6,0.03333333333333333,1.0,0.6957236842105263,0.0,1.0,-0.053536184210526305
