backbone,config,budget,rep,method,C,n_adapt,n_train,auroc_light,sens_light,auroc_mid,sens_mid,auroc_dark,sens_dark,gap_auroc,gap_sens,cert_lb_dark,cert_true_dark,cert_cov_dark,cert_n_dark,cert_lb_light,cert_true_light,cert_cov_light,cert_n_light,cert_lb_mid,cert_true_mid,cert_cov_mid,cert_n_mid
resnet50_frozen,std_tunedC,25,5,fair_legacy,0.01,25,17,0.6031249999999999,0.05,0.5696517412935324,0.2,0.5501644736842105,0.0,0.0529605263157894,0.05,0.1892553774377708,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,fair_shuffled,0.01,25,17,0.609375,0.05,0.5547263681592041,0.13333333333333333,0.5394736842105263,0.0,0.06990131578947367,0.05,0.1892553774377708,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,groupdro,0.01,25,17,0.59609375,0.05,0.5522388059701492,0.16666666666666666,0.5526315789473684,0.0,0.043462171052631615,0.05,0.1892553774377708,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,smote,0.01,25,17,0.59609375,0.05,0.5537313432835821,0.13333333333333333,0.5460526315789473,0.0,0.05004111842105263,0.05,0.1892553774377708,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,src_aug,0.01,25,17,0.55,0.25,0.6492537313432836,0.26666666666666666,0.6463815789473684,0.3157894736842105,-0.09638157894736832,-0.06578947368421051,0.07644039141232889,0.7108433734939759,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,src_aug_matched,0.01,25,17,0.6164062499999999,0.2,0.6179104477611941,0.13333333333333333,0.6299342105263157,0.2631578947368421,-0.013527960526315774,-0.06315789473684208,0.1892553774377708,0.6987951807228916,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,5,src_aug_down,0.1,25,17,0.6265625,0.1,0.6268656716417911,0.0,0.6365131578947368,0.0,-0.009950657894736814,0.1,0.1892553774377708,0.7710843373493976,1.0,5.0,,,,,,,,
resnet50_frozen,std_tunedC,25,6,source,0.01,25,17,0.5765625,0.8,0.5681592039800996,0.7,0.5921052631578947,0.631578947368421,-0.015542763157894712,0.16842105263157903,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,simple,0.01,25,17,0.51015625,0.0,0.5094527363184079,0.0,0.3815789473684211,0.0,0.1285773026315789,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,fair,0.01,25,17,0.5070312499999999,0.0,0.5258706467661692,0.0,0.4136513157894737,0.0,0.09337993421052626,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,fair_legacy,0.01,25,17,0.5070312499999999,0.0,0.5258706467661692,0.0,0.4136513157894737,0.0,0.09337993421052626,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,fair_shuffled,0.01,25,17,0.53046875,0.0,0.5064676616915422,0.0,0.40542763157894735,0.0,0.1250411184210527,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,groupdro,0.01,25,17,0.51171875,0.0,0.5099502487562189,0.0,0.3840460526315789,0.0,0.12767269736842107,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,smote,0.01,25,17,0.51015625,0.0,0.5094527363184079,0.0,0.3815789473684211,0.0,0.1285773026315789,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,src_aug,0.01,25,17,0.50390625,0.15,0.7203980099502488,0.2,0.6299342105263158,0.47368421052631576,-0.12602796052631582,-0.3236842105263158,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,src_aug_matched,0.01,25,17,0.4703125,0.0,0.6810945273631842,0.13333333333333333,0.6332236842105263,0.3684210526315789,-0.1629111842105263,-0.3684210526315789,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,6,src_aug_down,0.1,25,17,0.46953124999999996,0.0,0.6880597014925373,0.0,0.6365131578947368,0.0,-0.16698190789473688,0.0,,,,,,,,,,,,
resnet50_frozen,std_tunedC,25,7,source,0.01,25,17,0.5281250000000001,0.8,0.6164179104477612,0.8666666666666667,0.5550986842105263,0.7894736842105263,-0.02697368421052626,0.010526315789473717,,,,,0.0,0.34523809523809523,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,simple,0.01,25,17,0.48203124999999997,0.15,0.48855721393034823,0.06666666666666667,0.4375,0.05263157894736842,0.04453124999999997,0.09736842105263158,,,,,0.3425916819988613,0.75,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,fair,0.01,25,17,0.48046875,0.15,0.49452736318407964,0.16666666666666666,0.5197368421052632,0.05263157894736842,-0.039268092105263164,0.09736842105263158,,,,,0.1892553774377708,0.7142857142857143,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,fair_legacy,0.01,25,17,0.48046875,0.15,0.49452736318407964,0.16666666666666666,0.5197368421052632,0.05263157894736842,-0.039268092105263164,0.09736842105263158,,,,,0.1892553774377708,0.7142857142857143,1.0,5.0,,,,
resnet50_frozen,std_tunedC,25,7,fair_shuffled,0.01,25,17,0.48593749999999997,0.1,0.4681592039800995,0.1,0.4185855263157895,0.0,0.06735197368421048,0.1,,,,,0.3425916819988613,0.7380952380952381,1.0,5.0,,,,
