backbone,rep,method,kind,skin,dgroup,n_pos,sens,auroc_vs_benign,subset,n,auroc
resnet50_frozen,3,source,overall,dark,,19,0.7894736842105263,,all,83.0,0.5254934210526315
resnet50_frozen,3,source,overall,light,,18,0.6111111111111112,,noLYM,82.0,0.4774305555555556
resnet50_frozen,3,source,overall,mid,,29,0.8275862068965517,,noLYM,96.0,0.6425630468347916
resnet50_frozen,3,source,overall,dark,,8,0.75,,noLYM,72.0,0.48828125
resnet50_frozen,3,simple,stratum,light,KC,14,0.14285714285714285,0.7645089285714285,,,
resnet50_frozen,3,simple,stratum,light,MEL,3,0.0,0.671875,,,
resnet50_frozen,3,simple,stratum,light,LYM,2,0.0,0.84375,,,
resnet50_frozen,3,simple,stratum,light,OTH,1,0.0,0.90625,,,
resnet50_frozen,3,simple,stratum,mid,KC,28,0.03571428571428571,0.667910447761194,,,
resnet50_frozen,3,simple,stratum,mid,MEL,1,0.0,0.014925373134328401,,,
resnet50_frozen,3,simple,stratum,mid,LYM,1,0.0,0.5970149253731343,,,
resnet50_frozen,3,simple,stratum,dark,KC,3,0.3333333333333333,0.5572916666666666,,,
resnet50_frozen,3,simple,stratum,dark,MEL,3,0.0,0.6302083333333334,,,
resnet50_frozen,3,simple,stratum,dark,LYM,11,0.45454545454545453,0.8267045454545454,,,
resnet50_frozen,3,simple,stratum,dark,OTH,2,0.0,0.7265625,,,
resnet50_frozen,3,simple,overall,light,,20,0.1,,all,84.0,0.7656250000000001
resnet50_frozen,3,simple,overall,mid,,30,0.03333333333333333,,all,97.0,0.6437810945273632
resnet50_frozen,3,simple,overall,dark,,19,0.3157894736842105,,all,83.0,0.7425986842105263
resnet50_frozen,3,simple,overall,light,,18,0.1111111111111111,,noLYM,82.0,0.7569444444444444
resnet50_frozen,3,simple,overall,mid,,29,0.034482758620689655,,noLYM,96.0,0.6453937210499228
resnet50_frozen,3,simple,overall,dark,,8,0.125,,noLYM,72.0,0.626953125
resnet50_frozen,3,fair,stratum,light,KC,14,0.2857142857142857,0.7366071428571429,,,
resnet50_frozen,3,fair,stratum,light,MEL,3,0.3333333333333333,0.6666666666666666,,,
resnet50_frozen,3,fair,stratum,light,LYM,2,0.0,0.84375,,,
resnet50_frozen,3,fair,stratum,light,OTH,1,0.0,0.765625,,,
resnet50_frozen,3,fair,stratum,mid,KC,28,0.07142857142857142,0.7030916844349681,,,
resnet50_frozen,3,fair,stratum,mid,MEL,1,0.0,0.014925373134328401,,,
resnet50_frozen,3,fair,stratum,mid,LYM,1,0.0,0.7164179104477613,,,
resnet50_frozen,3,fair,stratum,dark,KC,3,0.3333333333333333,0.5364583333333333,,,
